id,level,difficulty,category,question,option_a,option_b,option_c,option_d,correct_answer,answer_text,reference,source_type,xp,topic
emek_q401,1,Beginner,Sunday School,What did Mary Magdalene see when she came to Jesus’ tomb?,Priests carrying it on their shoulders,The wall of Jerusalem,The stone had been removed,An angel of the Lord,C,The stone had been removed,John 20:1,Bible reference,10,Children
emek_q402,1,Beginner,Sunday School,What did the Israelites use to carry the ark across the Jordan?,The stone had been removed,An angel of the Lord,Priests carrying it on their shoulders,The wall of Jerusalem,C,Priests carrying it on their shoulders,Joshua 3:13-17,Bible reference,10,Children
emek_q403,1,Beginner,Sunday School,Who told Joseph in a dream to take Mary as his wife?,Priests carrying it on their shoulders,The wall of Jerusalem,An angel of the Lord,The stone had been removed,C,An angel of the Lord,Matthew 1:20,Bible reference,10,Children
emek_q404,1,Beginner,Sunday School,What did Nehemiah help the people rebuild?,The stone had been removed,The wall of Jerusalem,Priests carrying it on their shoulders,An angel of the Lord,B,The wall of Jerusalem,Nehemiah 2:17-18,Bible reference,10,Children
emek_q405,1,Beginner,Sunday School,What did the wise man build his house upon?,Priests carrying it on their shoulders,The stone had been removed,The rock,An angel of the Lord,C,The rock,Matthew 7:24-25,Bible reference,10,Children
emek_q406,1,Beginner,Sunday School,What did Jesus use to teach the parable of the sower?,An angel of the Lord,Priests carrying it on their shoulders,Seeds,The stone had been removed,C,Seeds,Matthew 13:3-8,Bible reference,10,Children
emek_q407,1,Beginner,Sunday School,What did the Good Samaritan use to care for the wounded man’s wounds?,An angel of the Lord,Oil and wine,The stone had been removed,Priests carrying it on their shoulders,B,Oil and wine,Luke 10:34,Bible reference,10,Children
emek_q408,1,Beginner,Sunday School,What did Daniel refuse to stop doing after the royal decree?,Praying to God,Priests carrying it on their shoulders,An angel of the Lord,The stone had been removed,A,Praying to God,Daniel 6:10,Bible reference,10,Children
emek_q409,1,Beginner,Sunday School,What did the angel say had happened to Jesus at the tomb?,An angel of the Lord,The stone had been removed,He had risen,Priests carrying it on their shoulders,C,He had risen,Matthew 28:5-6,Bible reference,10,Children
emek_q410,1,Beginner,Sunday School,What did Gideon use to signal his army at night?,An angel of the Lord,The stone had been removed,Trumpets and jars with torches,Priests carrying it on their shoulders,C,Trumpets and jars with torches,Judges 7:16-20,Bible reference,10,Children
emek_q411,1,Beginner,Sunday School,What did the three young men refuse to worship?,The golden image,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,A,The golden image,Daniel 3:16-18,Bible reference,10,Children
emek_q412,1,Beginner,Sunday School,What did Jesus do before distributing the loaves and fish?,Priests carrying it on their shoulders,He gave thanks,The stone had been removed,An angel of the Lord,B,He gave thanks,John 6:11,Bible reference,10,Children
emek_q413,1,Beginner,Sunday School,What did Ruth gather in the fields?,An angel of the Lord,Grain left behind by the harvesters,The stone had been removed,Priests carrying it on their shoulders,B,Grain left behind by the harvesters,Ruth 2:2-3,Bible reference,10,Children
emek_q414,1,Beginner,Sunday School,What did Jonah do when he was thrown into the sea?,Priests carrying it on their shoulders,The stone had been removed,He was swallowed by a great fish,An angel of the Lord,C,He was swallowed by a great fish,Jonah 1:15-17,Bible reference,10,Children
emek_q415,1,Beginner,Sunday School,What did Jesus say about becoming like little children?,Priests carrying it on their shoulders,An angel of the Lord,It is necessary to enter the kingdom of heaven,The stone had been removed,C,It is necessary to enter the kingdom of heaven,Matthew 18:3,Bible reference,10,Children
emek_q416,1,Beginner,Sunday School,What did Samuel hear calling him at night?,Priests carrying it on their shoulders,"His name, called by the Lord",The stone had been removed,An angel of the Lord,B,"His name, called by the Lord",1 Samuel 3:4-10,Bible reference,10,Children
emek_q417,1,Beginner,Sunday School,What did the father give the returning prodigal son?,"A robe, ring and sandals",Priests carrying it on their shoulders,The stone had been removed,An angel of the Lord,A,"A robe, ring and sandals",Luke 15:22,Bible reference,10,Children
emek_q418,1,Beginner,Sunday School,What was Jesus laid in after His birth?,Priests carrying it on their shoulders,An angel of the Lord,A manger,The stone had been removed,C,A manger,Luke 2:7,Bible reference,10,Children
emek_q419,1,Beginner,Sunday School,Who was the father of John the Baptist?,Priests carrying it on their shoulders,Zechariah,The stone had been removed,An angel of the Lord,B,Zechariah,Luke 1:13,Bible reference,10,Children
emek_q420,1,Beginner,Sunday School,What did the disciples do after Jesus ascended?,Priests carrying it on their shoulders,The stone had been removed,An angel of the Lord,They returned to Jerusalem with joy,D,They returned to Jerusalem with joy,Luke 24:52,Bible reference,10,Children
emek_q421,1,Beginner,Sunday School,What did Jesus do for Lazarus before calling him from the tomb?,The stone had been removed,He prayed/gave thanks to the Father,Priests carrying it on their shoulders,An angel of the Lord,B,He prayed/gave thanks to the Father,John 11:41-43,Bible reference,10,Children
emek_q422,1,Beginner,Sunday School,What did Jesus call His followers to become?,Fishers of people,The stone had been removed,Priests carrying it on their shoulders,An angel of the Lord,A,Fishers of people,Matthew 4:19,Bible reference,10,Children
emek_q423,1,Beginner,Sunday School,What was the name of the town where Jesus grew up?,Nazareth,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,A,Nazareth,Luke 2:39-40,Bible reference,10,Children
emek_q424,1,Beginner,Sunday School,What gift did Jesus promise His followers before His ascension?,An angel of the Lord,The Holy Spirit,Priests carrying it on their shoulders,The stone had been removed,B,The Holy Spirit,Acts 1:4-8,Bible reference,10,Children
emek_q425,1,Beginner,Sunday School,What did Jesus calm on the Sea of Galilee?,The stone had been removed,Priests carrying it on their shoulders,A storm,An angel of the Lord,C,A storm,Mark 4:39,Bible reference,10,Children
emek_q426,1,Beginner,Sunday School,Who was Jesus’ earthly guardian/father?,Joseph,Priests carrying it on their shoulders,An angel of the Lord,The stone had been removed,A,Joseph,Matthew 1:20-25,Bible reference,10,Children
emek_q427,1,Beginner,Sunday School,"What did Elijah hear after the wind, earthquake and fire?",A gentle whisper,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,A,A gentle whisper,1 Kings 19:11-12,Bible reference,10,Children
emek_q428,1,Beginner,Sunday School,Who told Mary she would have a son named Jesus?,The stone had been removed,An angel of the Lord,The angel Gabriel,Priests carrying it on their shoulders,C,The angel Gabriel,Luke 1:26-31,Bible reference,10,Children
emek_q429,1,Beginner,Sunday School,How many baskets of leftovers were gathered after the feeding of the five thousand?,Priests carrying it on their shoulders,Twelve,An angel of the Lord,The stone had been removed,B,Twelve,John 6:13,Bible reference,10,Children
emek_q430,1,Beginner,Sunday School,What did the woman search for in the parable of the lost coin?,The stone had been removed,A lost coin,An angel of the Lord,Priests carrying it on their shoulders,B,A lost coin,Luke 15:8-10,Bible reference,10,Children
emek_q431,1,Beginner,Sunday School,What did God give Solomon when he asked for wisdom?,The stone had been removed,An angel of the Lord,A wise and discerning heart,Priests carrying it on their shoulders,C,A wise and discerning heart,1 Kings 3:9-12,Bible reference,10,Children
emek_q432,1,Beginner,Sunday School,How many days was Jesus in the wilderness being tempted?,An angel of the Lord,The stone had been removed,Priests carrying it on their shoulders,Forty,D,Forty,Matthew 4:1-2,Bible reference,10,Children
emek_q433,1,Beginner,Sunday School,What did the voice from heaven call Jesus at His baptism?,An angel of the Lord,My beloved Son,Priests carrying it on their shoulders,The stone had been removed,B,My beloved Son,Matthew 3:17,Bible reference,10,Children
emek_q434,1,Beginner,Sunday School,What did Jesus do as a boy in the temple?,The stone had been removed,He listened and asked questions,Priests carrying it on their shoulders,An angel of the Lord,B,He listened and asked questions,Luke 2:46,Bible reference,10,Children
emek_q435,1,Beginner,Sunday School,What kind of fish were mentioned with the loaves in the feeding story?,Priests carrying it on their shoulders,The stone had been removed,An angel of the Lord,Two fish,D,Two fish,John 6:9,Bible reference,10,Children
emek_q436,1,Beginner,Sunday School,What instrument did David play for Saul?,An angel of the Lord,A lyre,The stone had been removed,Priests carrying it on their shoulders,B,A lyre,1 Samuel 16:23,Bible reference,10,Children
emek_q437,1,Beginner,Sunday School,What did Jesus walk on during the disciples’ boat journey?,Priests carrying it on their shoulders,An angel of the Lord,The sea,The stone had been removed,C,The sea,Matthew 14:25,Bible reference,10,Children
emek_q438,1,Beginner,Sunday School,What was Jesus’ trade traditionally described as?,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,Carpenter,D,Carpenter,Mark 6:3,Bible reference,10,Children
emek_q439,1,Beginner,Sunday School,What did Jesus tell the man healed from blindness to do after receiving sight?,Priests carrying it on their shoulders,An angel of the Lord,Go; his faith had made him well,The stone had been removed,C,Go; his faith had made him well,Mark 10:52,Bible reference,10,Children
emek_q440,1,Beginner,Sunday School,Who appeared with Jesus at the Transfiguration?,An angel of the Lord,Priests carrying it on their shoulders,The stone had been removed,Moses and Elijah,D,Moses and Elijah,Matthew 17:3,Bible reference,10,Children
emek_q441,1,Beginner,Sunday School,What did Bartimaeus call Jesus?,Son of David,Priests carrying it on their shoulders,The stone had been removed,An angel of the Lord,A,Son of David,Mark 10:47,Bible reference,10,Children
emek_q442,1,Beginner,Sunday School,What did Jesus say children should be allowed to do?,Come to Him,The stone had been removed,An angel of the Lord,Priests carrying it on their shoulders,A,Come to Him,Mark 10:14,Bible reference,10,Children
emek_q443,1,Beginner,Sunday School,What animal did Jesus use in the parable of the lost sheep?,Priests carrying it on their shoulders,An angel of the Lord,The stone had been removed,A sheep,D,A sheep,Luke 15:3-6,Bible reference,10,Children
