id,category,difficulty,level,question,option_a,option_b,option_c,option_d,correct_answer,points,time_limit_seconds,bible_reference
emek_q001,genesis-trail,easy,1,Who created the heavens and the earth?,Satan,God,An angel,Nature itself,B,10,20,Genesis 1:1
emek_q002,genesis-trail,easy,1,What did God create on the first day?,The sun,The stars,Land animals,Light,D,10,20,Genesis 1:3
emek_q003,genesis-trail,easy,1,In whose image was humanity created?,An angel's image,God's image,Adam's own image,No particular image,B,10,20,Genesis 1:27
emek_q004,genesis-trail,easy,1,What did God breathe into Adam's nostrils?,The Holy Spirit visibly,A blessing scroll,Water,The breath of life,D,10,20,Genesis 2:7
emek_q005,genesis-trail,easy,1,Who ate the forbidden fruit first?,Adam,Eve,The serpent,Cain,B,10,20,Genesis 3:6
emek_q006,genesis-trail,easy,1,Who killed Abel?,Lamech,Seth,Noah,Cain,D,10,20,Genesis 4:8
emek_q007,genesis-trail,easy,1,What did God command Noah to build?,A temple,An ark,A tower,An altar,B,10,20,Genesis 6:14
emek_q008,genesis-trail,easy,1,Who entered the ark with Noah?,All the people of his city,Only animals,His servants,His family,D,10,20,Genesis 7:7
emek_q009,genesis-trail,easy,1,What sign did God place in the clouds?,A star,A rainbow,A dove,A pillar of fire,B,10,20,Genesis 9:13
emek_q010,genesis-trail,easy,1,What did God promise to make Abram?,A great warrior,A wealthy king,A high priest,A great nation,D,10,20,Genesis 12:2
emek_q011,genesis-trail,easy,1,What was counted to Abram as righteousness?,His sacrifice,His faith,His obedience to the Law,His circumcision,B,10,20,Genesis 15:6
emek_q012,genesis-trail,easy,1,Why did Sarah laugh?,Because Abraham told a joke,Because she doubted the visitors,Because Isaac was already born,Because she would have a child in old age,D,10,20,Genesis 18:12
emek_q013,genesis-trail,easy,1,Who was Abraham commanded to offer?,Ishmael,Isaac,A ram,A lamb,B,10,20,Genesis 22:12
emek_q014,genesis-trail,easy,1,Who was born first to Isaac and Rebekah?,Jacob,Levi,Judah,Esau,D,10,20,Genesis 25:25
emek_q015,genesis-trail,easy,1,What did Jacob see in his dream?,A burning bush,A ladder reaching heaven,A pillar of fire,A great flood,B,10,20,Genesis 28:12
emek_q016,genesis-trail,easy,1,What new name was Jacob given?,Judah,Levi,Reuben,Israel,D,10,20,Genesis 32:28
emek_q017,genesis-trail,easy,1,What special garment did Jacob give Joseph?,A priestly robe,A coat of many colors,A royal crown,A plain linen tunic,B,10,20,Genesis 37:3
emek_q018,genesis-trail,easy,1,Who became second in command to Pharaoh?,Aaron,Judah,Reuben,Joseph,D,10,20,Genesis 41:41
emek_q019,genesis-trail,easy,1,What did Joseph say God could bring from evil?,Justice,Good,Judgment,Wealth,B,10,20,Genesis 50:20
emek_q020,exodus-journey,easy,1,What appeared to Moses in the wilderness?,An angel with a sword,A pillar of cloud,A talking donkey,A burning bush,D,10,20,Exodus 3:2
emek_q021,genesis-trail,easy,1,Who was the first man?,Adam,Seth,Enoch,Cain,A,10,20,Genesis 2:7
emek_q022,genesis-trail,easy,1,Who was the first woman?,Sarah,Eve,Rachel,Miriam,B,10,20,Genesis 2:22
